unit_id,row,col,lon_ctr,lat_ctr,clcd_ff_1985,clcd_ff_2000,clcd_ff_2010,clcd_ff_2025,clcd_ff_base,clcd_ff_final,clcd_forest_gain,clcd_slope_per_yr,clcd_establish_year,clcd_onset_year,clcd_pre1985_forest,clcd_transition,clcd_source,label_role
SAIH_AFF_r00c35,0,35,117.294502,42.595481,0.0447,0.2437,0.2989,0.3679,0.0559,0.3674,0.3114,0.00992,0,2013,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r00c36,0,36,117.306553,42.595481,0.0403,0.2723,0.3641,0.5032,0.0806,0.5013,0.4207,0.01356,2022,2003,0,afforested,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r00c37,0,37,117.318604,42.595481,0.1649,0.4447,0.6837,0.8571,0.2033,0.8428,0.6395,0.02167,2003,1998,0,afforested,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r00c38,0,38,117.330655,42.595481,0.5977,0.6917,0.7352,0.7626,0.6033,0.7574,0.1541,0.00562,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r00c39,0,39,117.342705,42.595481,0.7621,0.7809,0.8104,0.913,0.7621,0.8999,0.1378,0.00416,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r00c40,0,40,117.354756,42.595481,0.5705,0.7874,0.9005,0.9532,0.6112,0.9411,0.3298,0.01079,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r00c41,0,41,117.366807,42.595481,0.5435,0.6165,0.7137,0.8448,0.5611,0.8112,0.2501,0.00821,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r00c42,0,42,117.378858,42.595481,0.8727,0.9092,0.9151,0.9533,0.8858,0.933,0.0472,0.00143,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r00c43,0,43,117.390908,42.595481,0.8018,0.8824,0.9372,0.9694,0.8222,0.9592,0.1369,0.00457,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r00c44,0,44,117.402959,42.595481,0.7132,0.8276,0.8974,0.9946,0.7749,0.9561,0.1812,0.00612,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r00c45,0,45,117.41501,42.595481,0.1121,0.4642,0.6226,0.7184,0.1731,0.6818,0.5087,0.01637,2003,1998,0,afforested,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r00c46,0,46,117.427061,42.595481,0.0016,0.0048,0.0682,0.4919,0.0016,0.2888,0.2872,0.00827,0,2023,0,non_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r00c47,0,47,117.439112,42.595481,0.0,0.0,0.7229,0.9613,0.0,0.9238,0.9238,0.03461,2008,2007,0,afforested,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r00c48,0,48,117.451162,42.595481,0.0064,0.1214,0.7487,0.928,0.0078,0.895,0.8872,0.03277,2008,2006,0,afforested,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r00c49,0,49,117.463213,42.595481,0.2309,0.4699,0.7562,0.9221,0.2829,0.9117,0.6288,0.02218,2003,1995,0,afforested,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r00c50,0,50,117.475264,42.595481,0.5626,0.7379,0.8374,0.8995,0.6409,0.8903,0.2494,0.00895,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r00c51,0,51,117.487315,42.595481,0.1987,0.4141,0.7556,0.8561,0.2543,0.8308,0.5765,0.02034,2004,1998,0,afforested,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r00c52,0,52,117.499365,42.595481,0.2991,0.6665,0.8969,0.9495,0.3901,0.9484,0.5582,0.01895,1998,1990,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r00c53,0,53,117.511416,42.595481,0.1858,0.2669,0.3598,0.5236,0.1946,0.4973,0.3027,0.01026,2023,2006,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r00c54,0,54,117.523467,42.595481,0.0988,0.4791,0.558,0.8808,0.1128,0.8707,0.758,0.02417,2004,1998,0,afforested,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r00c55,0,55,117.535518,42.595481,0.6989,0.8258,0.8674,0.98,0.772,0.9591,0.1871,0.00632,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r00c56,0,56,117.547568,42.595481,0.652,0.884,0.9361,0.9742,0.7745,0.9733,0.1988,0.00693,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r00c61,0,61,117.607822,42.595481,0.0,0.0,0.0,0.544,0.0,0.4609,0.4609,0.01238,2024,2018,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r00c62,0,62,117.619873,42.595481,0.0,0.0,0.0,0.3657,0.0,0.1726,0.1726,0.0043,0,2025,0,non_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r00c63,0,63,117.631924,42.595481,0.0,0.0,0.0,0.2084,0.0,0.1281,0.1281,0.00312,0,0,0,non_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r00c64,0,64,117.643975,42.595481,0.0,0.0,0.0,0.4053,0.0,0.1975,0.1975,0.00473,0,2024,0,non_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r01c18,1,18,117.089639,42.586442,0.3447,0.374,0.4275,0.5041,0.3488,0.499,0.1502,0.00473,2022,1985,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r01c34,1,34,117.282452,42.586442,0.0524,0.0579,0.0761,0.1837,0.0524,0.1697,0.1173,0.00357,0,0,0,non_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r01c35,1,35,117.294502,42.586442,0.0551,0.2022,0.3697,0.6314,0.0561,0.6089,0.5529,0.01814,2015,2005,0,afforested,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r01c36,1,36,117.306553,42.586442,0.0563,0.31,0.4672,0.6685,0.0563,0.6546,0.5984,0.01954,2015,1999,0,afforested,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r01c37,1,37,117.318604,42.586442,0.3381,0.4909,0.5295,0.7292,0.3449,0.706,0.3611,0.01067,2003,1985,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r01c38,1,38,117.330655,42.586442,0.3889,0.4093,0.4468,0.6288,0.3919,0.6204,0.2286,0.00739,2015,1985,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r01c39,1,39,117.342705,42.586442,0.2063,0.2427,0.3023,0.4346,0.2077,0.4285,0.2208,0.00729,0,2010,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r01c40,1,40,117.354756,42.586442,0.3811,0.6638,0.7405,0.7714,0.4639,0.7628,0.2989,0.00925,1994,1985,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r01c41,1,41,117.366807,42.586442,0.84,0.8924,0.9134,0.9912,0.8527,0.9753,0.1226,0.00372,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r01c42,1,42,117.378858,42.586442,0.9823,0.9978,1.0,1.0,0.9852,1.0,0.0148,0.00044,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r01c43,1,43,117.390908,42.586442,0.6944,0.8103,0.9404,0.9901,0.7222,0.9837,0.2616,0.0091,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r01c44,1,44,117.402959,42.586442,0.8621,0.9051,0.9542,0.995,0.8761,0.9858,0.1097,0.00386,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r01c45,1,45,117.41501,42.586442,0.1832,0.6573,0.8519,0.9114,0.2178,0.9192,0.7014,0.02251,1998,1996,0,afforested,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r01c46,1,46,117.427061,42.586442,0.0177,0.1539,0.2736,0.5212,0.0177,0.4395,0.4219,0.01381,2025,2015,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r01c47,1,47,117.439112,42.586442,0.0,0.0,0.524,0.8522,0.0,0.8014,0.8014,0.02837,2008,2006,0,afforested,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r01c48,1,48,117.451162,42.586442,0.198,0.2824,0.4479,0.888,0.2492,0.8581,0.6089,0.02015,2014,2003,0,afforested,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r01c49,1,49,117.463213,42.586442,0.6078,0.7143,0.8423,0.9807,0.6639,0.978,0.3141,0.01097,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r01c50,1,50,117.475264,42.586442,0.5378,0.8238,0.9281,0.9822,0.6933,0.9609,0.2676,0.00922,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r01c51,1,51,117.487315,42.586442,0.6327,0.8031,0.8704,0.872,0.7464,0.9158,0.1694,0.00613,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r01c52,1,52,117.499365,42.586442,0.7375,0.8654,0.9151,0.9377,0.8274,0.9566,0.1292,0.0046,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r01c53,1,53,117.511416,42.586442,0.4749,0.6156,0.7143,0.7496,0.5305,0.7431,0.2126,0.00737,1990,1985,0,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r01c54,1,54,117.523467,42.586442,0.2945,0.4926,0.5571,0.7678,0.3545,0.6926,0.3381,0.0105,2003,1990,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r01c56,1,56,117.547568,42.586442,0.7286,0.8312,0.8505,0.8279,0.7699,0.769,-0.0009,0.00061,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r01c57,1,57,117.559619,42.586442,0.2598,0.3607,0.3867,0.4247,0.3164,0.4216,0.1052,0.00361,0,1990,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c19,2,19,117.10169,42.577403,0.2813,0.2835,0.3138,0.3867,0.2813,0.3764,0.0951,0.00302,0,2008,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c34,2,34,117.282452,42.577403,0.0734,0.0883,0.1054,0.2703,0.0805,0.213,0.1325,0.00367,0,0,0,non_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c35,2,35,117.294502,42.577403,0.0459,0.0714,0.1103,0.2065,0.0497,0.1919,0.1422,0.00451,0,0,0,non_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c36,2,36,117.306553,42.577403,0.0221,0.043,0.107,0.1875,0.0225,0.1783,0.1558,0.00516,0,0,0,non_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c37,2,37,117.318604,42.577403,0.0232,0.0574,0.1092,0.294,0.0236,0.2565,0.2328,0.0071,0,0,0,non_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c38,2,38,117.330655,42.577403,0.1395,0.3464,0.4986,0.6746,0.141,0.637,0.496,0.01583,2011,1998,0,afforested,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c39,2,39,117.342705,42.577403,0.4584,0.6669,0.7479,0.8516,0.511,0.8313,0.3203,0.00977,1990,1985,0,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c40,2,40,117.354756,42.577403,0.2503,0.3859,0.4935,0.5173,0.2628,0.5084,0.2456,0.00786,2016,1996,0,afforested,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c41,2,41,117.366807,42.577403,0.4357,0.5742,0.6751,0.8064,0.4385,0.7825,0.344,0.01134,1998,1985,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c42,2,42,117.378858,42.577403,0.6437,0.8257,0.963,1.0,0.6475,1.0,0.3525,0.01163,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c43,2,43,117.390908,42.577403,0.8014,0.9288,0.9823,1.0,0.8081,0.9937,0.1855,0.00596,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c44,2,44,117.402959,42.577403,0.7038,0.9101,0.9801,0.9928,0.7162,0.9891,0.2729,0.00887,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c45,2,45,117.41501,42.577403,0.3881,0.7032,0.9508,0.9995,0.4087,0.9957,0.5869,0.01963,1998,1985,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c46,2,46,117.427061,42.577403,0.0039,0.2234,0.4512,0.6999,0.0062,0.6338,0.6276,0.02108,2015,2005,0,afforested,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c47,2,47,117.439112,42.577403,0.0199,0.0998,0.1219,0.3971,0.0767,0.3203,0.2436,0.00725,0,2023,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c48,2,48,117.451162,42.577403,0.3999,0.7943,0.8753,0.9355,0.552,0.8868,0.3349,0.01096,1990,1985,0,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c49,2,49,117.463213,42.577403,0.5863,0.8345,0.8958,0.8902,0.7456,0.8481,0.1026,0.00431,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c50,2,50,117.475264,42.577403,0.4973,0.8378,0.9016,0.8827,0.6901,0.8918,0.2017,0.00705,1990,1985,0,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c51,2,51,117.487315,42.577403,0.7667,0.9134,0.9393,0.9437,0.872,0.9399,0.0678,0.00252,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c52,2,52,117.499365,42.577403,0.4275,0.5852,0.6393,0.7424,0.5438,0.7403,0.1965,0.00687,1990,1985,0,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c53,2,53,117.511416,42.577403,0.4142,0.4473,0.4931,0.8125,0.4264,0.806,0.3796,0.01302,2011,1985,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c54,2,54,117.523467,42.577403,0.2041,0.2322,0.2372,0.2747,0.2135,0.2666,0.0531,0.0018,0,0,0,non_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c55,2,55,117.535518,42.577403,0.3773,0.4254,0.4384,0.5043,0.3961,0.4995,0.1033,0.00358,2017,1985,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c56,2,56,117.547568,42.577403,0.4264,0.4573,0.4573,0.5394,0.4348,0.5261,0.0913,0.00276,2017,1985,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c57,2,57,117.559619,42.577403,0.8158,0.8671,0.8803,0.8158,0.8431,0.7589,-0.0842,-0.00095,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c58,2,58,117.57167,42.577403,0.5146,0.5632,0.5714,0.5052,0.5374,0.4493,-0.0881,-0.00122,1985,1985,1,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c63,2,63,117.631924,42.577403,0.005,0.0805,0.4291,0.6387,0.005,0.6293,0.6243,0.0224,2013,2004,0,afforested,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r02c64,2,64,117.643975,42.577403,0.0005,0.0005,0.0892,0.2881,0.0005,0.2793,0.2787,0.00959,0,0,0,non_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r03c20,3,20,117.113741,42.568364,0.1924,0.1935,0.1995,0.2411,0.1924,0.2364,0.044,0.00131,0,0,0,non_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r03c35,3,35,117.294502,42.568364,0.1843,0.187,0.2011,0.2541,0.1853,0.2481,0.0629,0.00198,0,0,0,non_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r03c36,3,36,117.306553,42.568364,0.0496,0.0728,0.1953,0.2769,0.0546,0.2598,0.2052,0.00707,0,0,0,non_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r03c37,3,37,117.318604,42.568364,0.0347,0.0706,0.182,0.2438,0.0376,0.2083,0.1707,0.00601,0,0,0,non_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r03c38,3,38,117.330655,42.568364,0.0634,0.1787,0.4142,0.5896,0.0712,0.5254,0.4542,0.01535,2023,2004,0,afforested,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r03c39,3,39,117.342705,42.568364,0.1859,0.4865,0.6779,0.7965,0.1961,0.7763,0.5802,0.01845,2002,1997,0,afforested,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r03c40,3,40,117.354756,42.568364,0.4714,0.6319,0.7076,0.8686,0.4956,0.7891,0.2935,0.00889,1993,1985,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r03c41,3,41,117.366807,42.568364,0.6233,0.738,0.8252,0.8842,0.6281,0.8781,0.25,0.00818,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r03c42,3,42,117.378858,42.568364,0.1897,0.503,0.9228,0.9972,0.1998,0.9953,0.7955,0.02774,2000,1998,0,afforested,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r03c43,3,43,117.390908,42.568364,0.3354,0.9266,0.9956,1.0,0.3385,0.9986,0.6601,0.0202,1998,1985,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r03c44,3,44,117.402959,42.568364,0.3067,0.6453,0.9426,0.9983,0.3381,0.9972,0.6591,0.02222,1998,1985,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r03c45,3,45,117.41501,42.568364,0.1303,0.5141,0.7551,0.8935,0.1392,0.8647,0.7255,0.02297,2000,1998,0,afforested,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r03c46,3,46,117.427061,42.568364,0.043,0.3293,0.4892,0.6029,0.0706,0.5534,0.4828,0.01563,2015,1999,0,afforested,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r03c47,3,47,117.439112,42.568364,0.1478,0.3425,0.3756,0.4462,0.2534,0.4187,0.1653,0.00514,0,1998,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r03c48,3,48,117.451162,42.568364,0.0386,0.1555,0.1743,0.278,0.0746,0.2317,0.157,0.00484,0,0,0,non_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r03c49,3,49,117.463213,42.568364,0.2614,0.5488,0.6795,0.8163,0.3876,0.7646,0.377,0.01242,1998,1990,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r03c50,3,50,117.475264,42.568364,0.7184,0.8941,0.9076,0.8914,0.8422,0.9078,0.0657,0.00234,1985,1985,1,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r03c51,3,51,117.487315,42.568364,0.4286,0.7573,0.7921,0.8946,0.6477,0.8688,0.2211,0.00742,1990,1985,0,stable_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r03c52,3,52,117.499365,42.568364,0.1522,0.1925,0.2278,0.5317,0.1797,0.4777,0.298,0.00907,2025,2016,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r03c53,3,53,117.511416,42.568364,0.0254,0.0386,0.0667,0.5069,0.0268,0.5003,0.4735,0.01586,2023,2015,0,afforested,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r03c54,3,54,117.523467,42.568364,0.257,0.2747,0.2868,0.3392,0.267,0.3312,0.0643,0.00209,0,2015,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r03c55,3,55,117.535518,42.568364,0.4286,0.4438,0.4616,0.5227,0.4384,0.5082,0.0698,0.00225,2022,1985,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r03c56,3,56,117.547568,42.568364,0.235,0.2559,0.2592,0.5036,0.2487,0.4867,0.238,0.00687,2025,2016,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r03c57,3,57,117.559619,42.568364,0.2703,0.294,0.2978,0.5554,0.287,0.5035,0.2165,0.00644,2024,2013,0,afforested,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r03c58,3,58,117.57167,42.568364,0.1991,0.2372,0.2449,0.4683,0.2085,0.4019,0.1934,0.00578,0,2017,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r03c63,3,63,117.631924,42.568364,0.0,0.0,0.0143,0.1826,0.0,0.1745,0.1745,0.0059,0,0,0,non_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
SAIH_AFF_r04c20,4,20,117.113741,42.559325,0.4027,0.4092,0.4103,0.4427,0.4036,0.4353,0.0317,0.0008,0,1985,0,partial_forest,CLCD_v01_Yang_Huang_zenodo.18180184,RS_derived
