unit_id,vh_2015,vh_2016,vh_2017,vh_2018,vh_2019,vh_2020,vh_2021,vh_2022,vh_2023,vh_2024
SAIH_AFF_r00c35,-1784.325010732654,-1771.8570777881396,-1863.9346015308492,-1843.6848371255417,-1911.107001874294,-1791.971147503227,-1755.509902830285,-1884.135917196325,-1791.203600934009,-1764.986215092726
SAIH_AFF_r00c36,-1810.8214372690686,-1757.8608583392036,-1904.287220754327,-1859.0744925722154,-1955.8300002356782,-1783.8530600167069,-1718.4451642806457,-1888.1539579498117,-1811.1652992979411,-1771.1141021847343
SAIH_AFF_r00c37,-1596.48598598075,-1556.2681980703935,-1618.665082215235,-1596.4030980562598,-1635.7439392115123,-1552.6670505645952,-1486.47490354565,-1511.4961758531726,-1485.816679143353,-1494.011569287472
SAIH_AFF_r00c38,-1713.292796048675,-1695.702558099345,-1793.2537488935398,-1740.9621208550109,-1787.8253484389054,-1643.1512599320197,-1575.3045023386449,-1652.1532685951988,-1617.986138390876,-1545.3242930396061
SAIH_AFF_r00c39,-1726.4515381715798,-1707.8272305582066,-1738.2404976807052,-1745.220678931557,-1716.740563123676,-1638.8872182025739,-1541.523635383186,-1482.4899741369422,-1420.0861465084904,-1418.8299032491163
SAIH_AFF_r00c40,-1473.7739879490982,-1423.4495348727678,-1517.9423158467864,-1518.6252414630728,-1528.8122791496346,-1503.0561555414824,-1519.2535689419633,-1618.7775372599149,-1581.366120833621,-1605.3349936918626
SAIH_AFF_r00c41,-1596.3662514369864,-1557.7598912738963,-1631.7479712053917,-1620.5219560224923,-1624.5013315805913,-1575.8726134331257,-1545.8814330268676,-1609.5242080565256,-1570.05167370646,-1575.7776325885072
SAIH_AFF_r00c42,-1637.7445591119697,-1611.3806723107227,-1652.0093904581886,-1646.2328419883936,-1629.9706580914844,-1582.953430031141,-1537.7181212798926,-1524.2288721237508,-1473.5609764400622,-1501.481820062485
SAIH_AFF_r00c43,-1581.8177968098075,-1551.3126351277074,-1603.9428524313823,-1604.2981133161975,-1599.2202274071706,-1560.0561031917618,-1532.1973034660748,-1566.6759526339763,-1519.90824403344,-1550.5041748899343
SAIH_AFF_r00c44,-1616.4531963739337,-1586.0044789286244,-1622.501810157308,-1628.1991722751495,-1641.9957174008146,-1548.144179094327,-1489.5262047428018,-1478.285994382367,-1446.2589689825763,-1459.2131483124888
