unit_id,lon_ctr,lat_ctr,clcd_establish_year,clcd_transition,clcd_ff_final,R_clcd_final,R_clcd_slope,ndvi_slope_per_yr,ndvi_delta,ndvi_stability,loss_last_year,disturbed_recent,phase_v0,ndvi_trend,label_method,label_role,tree_source,baseline_source,ndvi_source,clcd_source,build_date
SAIH_AFF_r00c35,117.294502,42.595481,0,partial_forest,0.3674,0.3817,0.00627,0.00448,0.0876,0.9698,2008,0,early_restoration,rising,regimeC_v0_CLCD+NDVI,RS_derived,ESA_WorldCover_2021_v200,Hansen_GFC2024v1.12_treecover2000,Landsat_C2_L2_GEE,CLCD_v01_zenodo.18180184,2026-06-10
SAIH_AFF_r00c36,117.306553,42.595481,2022,afforested,0.5013,0.522,0.01098,0.0037,0.0863,0.9515,2012,0,early_restoration,rising,regimeC_v0_CLCD+NDVI,RS_derived,ESA_WorldCover_2021_v200,Hansen_GFC2024v1.12_treecover2000,Landsat_C2_L2_GEE,CLCD_v01_zenodo.18180184,2026-06-10
SAIH_AFF_r00c37,117.318604,42.595481,2003,afforested,0.8428,0.8892,0.0177,0.00592,0.1328,0.9521,2012,0,stable_restoration,rising,regimeC_v0_CLCD+NDVI,RS_derived,ESA_WorldCover_2021_v200,Hansen_GFC2024v1.12_treecover2000,Landsat_C2_L2_GEE,CLCD_v01_zenodo.18180184,2026-06-10
SAIH_AFF_r00c38,117.330655,42.595481,1985,stable_forest,0.7574,0.7911,0.00351,0.00337,0.1149,0.9366,2012,0,stable_restoration,rising,regimeC_v0_CLCD+NDVI,RS_derived,ESA_WorldCover_2021_v200,Hansen_GFC2024v1.12_treecover2000,Landsat_C2_L2_GEE,CLCD_v01_zenodo.18180184,2026-06-10
SAIH_AFF_r00c39,117.342705,42.595481,1985,stable_forest,0.8999,0.9472,0.00578,0.00574,0.129,0.9627,0,0,stable_restoration,rising,regimeC_v0_CLCD+NDVI,RS_derived,ESA_WorldCover_2021_v200,Hansen_GFC2024v1.12_treecover2000,Landsat_C2_L2_GEE,CLCD_v01_zenodo.18180184,2026-06-10
SAIH_AFF_r00c40,117.354756,42.595481,1985,stable_forest,0.9411,0.9889,0.00536,0.00342,0.0681,0.9572,2011,0,stable_restoration,rising,regimeC_v0_CLCD+NDVI,RS_derived,ESA_WorldCover_2021_v200,Hansen_GFC2024v1.12_treecover2000,Landsat_C2_L2_GEE,CLCD_v01_zenodo.18180184,2026-06-10
SAIH_AFF_r00c41,117.366807,42.595481,1985,stable_forest,0.8112,0.8764,0.00855,0.00242,0.0315,0.9489,2012,0,stable_restoration,flat,regimeC_v0_CLCD+NDVI,RS_derived,ESA_WorldCover_2021_v200,Hansen_GFC2024v1.12_treecover2000,Landsat_C2_L2_GEE,CLCD_v01_zenodo.18180184,2026-06-10
SAIH_AFF_r00c42,117.378858,42.595481,1985,stable_forest,0.933,0.989,0.00125,0.00517,0.1069,0.9621,2011,0,stable_restoration,rising,regimeC_v0_CLCD+NDVI,RS_derived,ESA_WorldCover_2021_v200,Hansen_GFC2024v1.12_treecover2000,Landsat_C2_L2_GEE,CLCD_v01_zenodo.18180184,2026-06-10
SAIH_AFF_r00c43,117.390908,42.595481,1985,stable_forest,0.9592,1.0057,0.00347,0.00571,0.1302,0.9585,2011,0,stable_restoration,rising,regimeC_v0_CLCD+NDVI,RS_derived,ESA_WorldCover_2021_v200,Hansen_GFC2024v1.12_treecover2000,Landsat_C2_L2_GEE,CLCD_v01_zenodo.18180184,2026-06-10
SAIH_AFF_r00c44,117.402959,42.595481,1985,stable_forest,0.9561,1.0318,0.00646,0.00623,0.1492,0.943,2014,0,stable_restoration,rising,regimeC_v0_CLCD+NDVI,RS_derived,ESA_WorldCover_2021_v200,Hansen_GFC2024v1.12_treecover2000,Landsat_C2_L2_GEE,CLCD_v01_zenodo.18180184,2026-06-10
SAIH_AFF_r00c45,117.41501,42.595481,2003,afforested,0.6818,0.7453,0.00847,0.00391,0.1104,0.9391,2012,0,stable_restoration,rising,regimeC_v0_CLCD+NDVI,RS_derived,ESA_WorldCover_2021_v200,Hansen_GFC2024v1.12_treecover2000,Landsat_C2_L2_GEE,CLCD_v01_zenodo.18180184,2026-06-10
SAIH_AFF_r00c46,117.427061,42.595481,0,non_forest,0.2888,0.5103,0.0142,0.01002,0.2315,0.9313,0,0,early_restoration,rising,regimeC_v0_CLCD+NDVI,RS_derived,ESA_WorldCover_2021_v200,Hansen_GFC2024v1.12_treecover2000,Landsat_C2_L2_GEE,CLCD_v01_zenodo.18180184,2026-06-10
SAIH_AFF_r00c47,117.439112,42.595481,2008,afforested,0.9238,0.9973,0.04542,0.01171,0.2758,0.9517,0,0,stable_restoration,rising,regimeC_v0_CLCD+NDVI,RS_derived,ESA_WorldCover_2021_v200,Hansen_GFC2024v1.12_treecover2000,Landsat_C2_L2_GEE,CLCD_v01_zenodo.18180184,2026-06-10
SAIH_AFF_r00c48,117.451162,42.595481,2008,afforested,0.895,0.9627,0.03726,0.01113,0.2431,0.9735,0,0,stable_restoration,rising,regimeC_v0_CLCD+NDVI,RS_derived,ESA_WorldCover_2021_v200,Hansen_GFC2024v1.12_treecover2000,Landsat_C2_L2_GEE,CLCD_v01_zenodo.18180184,2026-06-10
SAIH_AFF_r00c49,117.463213,42.595481,2003,afforested,0.9117,0.9566,0.02247,0.00798,0.1697,0.9552,0,0,stable_restoration,rising,regimeC_v0_CLCD+NDVI,RS_derived,ESA_WorldCover_2021_v200,Hansen_GFC2024v1.12_treecover2000,Landsat_C2_L2_GEE,CLCD_v01_zenodo.18180184,2026-06-10
SAIH_AFF_r00c50,117.475264,42.595481,1985,stable_forest,0.8903,0.9332,0.00751,0.00326,0.0742,0.9423,2021,1,stable_restoration,rising,regimeC_v0_CLCD+NDVI,RS_derived,ESA_WorldCover_2021_v200,Hansen_GFC2024v1.12_treecover2000,Landsat_C2_L2_GEE,CLCD_v01_zenodo.18180184,2026-06-10
