regime,unit_id,phase,R_final,recovery_slope,structure_value,structure_kind,structure_available,optical_source,label_method,label_confidence
postfire,OR4540011770020161024,early_restoration,0.3934,0.0394,9.13,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,ID4431311660320161007,low_severity,,,3.26,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,ID4489011641020160503,low_severity,,,14.98,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,ID4544811630920160818,low_severity,,,10.92,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4562412106720160701,low_severity,,,1.09,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4576011699020161024,low_severity,,,2.96,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4372011979020160515,stable_restoration,1.0314,0.1184,13.31,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4396011847820161001,low_severity,,,3.83,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4417011845020160926,low_severity,,,12.67,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4473012140020160415,low_severity,,,6.63,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3759811955420160626,early_restoration,0.4891,0.0831,18.53,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,ID4273611666120160929,low_severity,,,2.43,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3700411949520160730,stable_restoration,1.0607,0.1053,5.34,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3779911892220160804,stable_restoration,0.9183,0.1127,5.86,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,CA3778011892120160917,stable_restoration,1.3,0.1619,5.54,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
postfire,OR4440811838320160731,stable_restoration,0.8738,0.1104,9.28,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1,v0
