regime,unit_id,phase,R_final,recovery_slope,structure_value,structure_kind,structure_available,optical_source,label_method
postfire,OR4540011770020161024,early_restoration,0.3934,0.0394,9.13,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,ID4431311660320161007,low_severity,,,3.26,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,ID4489011641020160503,low_severity,,,14.98,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,ID4544811630920160818,low_severity,,,10.92,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4562412106720160701,low_severity,,,1.09,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4576011699020161024,low_severity,,,2.96,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4372011979020160515,stable_restoration,1.0314,0.1184,13.31,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4396011847820161001,low_severity,,,3.83,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4417011845020160926,low_severity,,,12.67,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4473012140020160415,low_severity,,,6.63,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA3759811955420160626,early_restoration,0.4891,0.0831,18.53,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,ID4273611666120160929,low_severity,,,2.43,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA3700411949520160730,stable_restoration,1.0607,0.1053,5.34,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA3779911892220160804,stable_restoration,0.9183,0.1127,5.86,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA3778011892120160917,stable_restoration,1.3,0.1619,5.54,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4440811838320160731,stable_restoration,0.8738,0.1104,9.28,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA3780912030120160926,stable_restoration,0.7238,0.0658,7.57,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA3611312128920160604,stable_restoration,1.1192,0.0588,7.44,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4407812030820160929,degraded,0.2876,0.0366,6.72,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4272312062320160817,low_severity,,,1.76,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA4128112031520160917,stable_restoration,0.6912,0.1037,3.33,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA4036812080220160911,early_restoration,0.3937,0.0597,6.69,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA3895812085620160628,early_restoration,0.6476,0.0764,23.35,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA3710912184820160926,stable_restoration,0.9169,0.1036,13.92,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA3646112190120160722,stable_restoration,1.1885,0.134,13.09,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4448812148120160607,stable_restoration,0.728,0.0632,4.48,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4292412221220160728,stable_restoration,0.7271,0.081,4.89,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4563012190420170902,early_restoration,0.4921,0.064,11.92,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,ID4540111652720170908,stable_restoration,0.7748,0.106,14.52,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,ID4554811595020170801,stable_restoration,0.7894,0.1062,9.33,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,ID4601011688120170715,low_severity,,,3.67,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4560011651620170711,low_severity,,,4.52,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,ID4603611671720170715,low_severity,,,4.03,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4443511721920170803,low_severity,,,5.78,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,ID4253511698720170918,low_severity,,,0.25,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4462111846220170616,low_severity,,,11.37,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4372111979120170504,early_restoration,0.5562,0.0401,11.49,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA4119012308020171102,low_severity,,,12.0,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4305111881420170401,low_severity,,,2.7,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA4179612108320170813,low_severity,,,0.83,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA3744911965020170829,stable_restoration,0.7902,0.108,10.93,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA3721711946920170903,early_restoration,0.6235,0.0757,10.63,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA3753811959820170813,early_restoration,0.4903,0.0733,17.56,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA3764411961820170801,stable_restoration,0.8044,0.1087,19.72,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA3837311989620170819,early_restoration,0.5675,0.0892,2.86,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,NV3882011959620171003,low_severity,,,4.79,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA3761912020720170716,stable_restoration,0.9069,0.093,3.54,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA3812011994120170904,stable_restoration,0.6626,0.1108,16.55,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA3606812023620170420,low_severity,,,3.92,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4447912049720170909,stable_restoration,0.8178,0.1119,3.41,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA4130712105620170725,stable_restoration,0.7403,0.1049,5.08,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA4146612032120170803,early_restoration,0.5691,0.0886,1.94,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA3990612097220170729,early_restoration,0.3773,0.0589,24.26,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA3946112141320170707,stable_restoration,0.6686,0.0563,7.42,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA3839112224120171009,early_restoration,0.5079,0.0547,6.77,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA3838712252020171009,early_restoration,0.544,0.0617,8.08,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,CA3957512131620170829,early_restoration,0.4714,0.0453,10.45,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4470812185620170724,degraded,-0.1285,-0.0273,5.05,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4474912191520170811,degraded,-0.3,-0.0491,10.92,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4400912217020170804,degraded,0.1879,0.0118,31.99,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4425712174320170811,early_restoration,0.5768,0.0915,4.52,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4410112190920170810,degraded,0.1493,0.0232,5.78,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4410112199420170810,degraded,0.0143,0.0043,27.73,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4412912209720170811,degraded,0.0855,0.0069,19.15,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4404612205520170810,degraded,0.0751,0.0154,20.91,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4279812231820170725,early_restoration,0.3632,0.0624,12.51,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4254212214420170810,degraded,0.1978,0.0468,11.95,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4298012228220170729,degraded,0.2014,0.0404,4.48,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4311112241120170811,degraded,-0.0686,0.0034,28.34,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
postfire,OR4303712246520170809,degraded,0.2074,0.0305,20.63,GEDI_rh98_m,1,Landsat_C2_L2,protocol_RegimeA_v0.1
