unit_id,ndvi_2000,ndvi_2001,ndvi_2002,ndvi_2003,ndvi_2004,ndvi_2005,ndvi_2006,ndvi_2007,ndvi_2008,ndvi_2009,ndvi_2010,ndvi_2011,ndvi_2012,ndvi_2013,ndvi_2014,ndvi_2015,ndvi_2016,ndvi_2017,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2021,ndvi_2022,ndvi_2023,ndvi_2024,nbr_2000,nbr_2001,nbr_2002,nbr_2003,nbr_2004,nbr_2005,nbr_2006,nbr_2007,nbr_2008,nbr_2009,nbr_2010,nbr_2011,nbr_2012,nbr_2013,nbr_2014,nbr_2015,nbr_2016,nbr_2017,nbr_2018,nbr_2019,nbr_2020,nbr_2021,nbr_2022,nbr_2023,nbr_2024
MINE_US_00000,-0.0903,-0.031,-0.0217,-0.0078,-0.0172,-0.0753,-0.047,-0.0317,-0.0207,-0.0404,-0.044,-0.0596,-0.0396,-0.0304,-0.0425,-0.0592,-0.0652,-0.0475,-0.0332,-0.061,-0.0233,-0.0065,-0.0077,-0.0434,-0.0666,0.4382,0.422,0.3876,0.4139,0.4173,0.4253,0.3944,0.3989,0.3827,0.4114,0.396,0.4076,0.3872,0.4146,0.4248,0.4406,0.4166,0.3978,0.3812,0.4268,0.3754,0.3846,0.396,0.4548,0.3793
MINE_US_00001,-0.3789,-0.3015,-0.2573,-0.2742,-0.3088,-0.3217,-0.293,-0.2699,-0.293,-0.3363,-0.3134,-0.3784,-0.3516,-0.4121,-0.4102,-0.3503,-0.3365,-0.3442,-0.26,-0.3986,-0.306,-0.1998,-0.2449,-0.3652,-0.2812,0.5897,0.6004,0.5628,0.5771,0.5877,0.639,0.6096,0.6042,0.6157,0.6411,0.6208,0.6237,0.6592,0.6089,0.6008,0.6341,0.5888,0.5761,0.6135,0.6591,0.6049,0.6518,0.5824,0.6717,0.6124
MINE_US_00002,-0.407,-0.2757,-0.2517,-0.2667,-0.2383,-0.255,-0.3128,-0.2497,-0.2693,-0.2923,-0.2967,-0.295,-0.3355,-0.3862,-0.3655,-0.2773,-0.2294,-0.4472,-0.2619,-0.2653,-0.1851,-0.0995,-0.0697,-0.063,-0.0122,0.6902,0.6837,0.6681,0.6465,0.671,0.7159,0.6934,0.7022,0.7276,0.722,0.7298,0.7303,0.7376,0.7679,0.7866,0.7698,0.7367,0.7967,0.7187,0.7845,0.7575,0.7412,0.7469,0.7467,0.6299
MINE_US_00003,-0.4826,-0.4437,-0.3755,-0.3085,-0.3128,-0.3635,-0.4123,-0.3869,-0.3643,-0.3997,-0.3972,-0.4209,-0.4668,-0.4472,-0.4558,-0.4389,-0.4296,-0.4498,-0.3992,-0.4422,-0.4193,-0.3066,-0.3443,-0.5109,-0.3892,0.7172,0.7092,0.7079,0.6608,0.6339,0.7249,0.7314,0.7094,0.678,0.7083,0.6769,0.7305,0.7193,0.6282,0.6222,0.6421,0.6296,0.6516,0.6177,0.7188,0.6513,0.6357,0.6539,0.6257,0.6383
MINE_US_00004,0.1608,0.1881,0.1566,0.1854,0.1379,0.1835,0.1395,0.1779,0.1869,0.157,0.1717,0.1629,0.1221,0.2092,0.2212,0.2051,0.1791,0.2032,0.2585,0.2686,0.176,0.1924,0.2436,0.2647,0.2024,-0.1257,-0.1233,-0.1408,-0.079,-0.1519,-0.0669,-0.1333,-0.0712,-0.0619,-0.0918,-0.0727,-0.0783,-0.1289,-0.0675,-0.0487,-0.0695,-0.0813,-0.0644,0.0041,0.0195,-0.0793,-0.0861,-0.0225,-0.0006,-0.0608
MINE_US_00005,0.335,0.3407,0.3535,0.3335,0.3377,0.3427,0.3478,0.3365,0.332,0.3561,0.3573,0.3559,0.3697,0.3413,0.3688,0.3766,0.3407,0.3553,0.3674,0.3262,0.3321,0.287,0.3325,0.3456,0.3153,0.255,0.2498,0.2683,0.261,0.2536,0.2442,0.2342,0.2309,0.2358,0.2492,0.2321,0.258,0.2425,0.1997,0.2361,0.2451,0.2024,0.2352,0.248,0.2034,0.2223,0.174,0.2116,0.2304,0.1712
MINE_US_00006,0.03,0.0008,0.0564,0.0662,0.0433,0.0642,0.0137,0.0565,0.0125,0.0339,0.0488,0.0448,-0.049,0.0453,0.0189,0.0147,-0.0182,0.0024,0.0353,0.0408,0.04,0.0594,0.0767,0.0918,0.0919,0.2575,0.2529,0.2536,0.2388,0.2669,0.2922,0.2606,0.3042,0.2801,0.277,0.3112,0.2578,0.2611,0.2929,0.2519,0.2494,0.2511,0.2859,0.2952,0.2923,0.2711,0.3013,0.2785,0.2763,0.2778
MINE_US_00007,0.0651,0.0845,0.0601,0.0652,0.0652,0.0716,0.0537,0.0767,0.0641,0.0654,0.0758,0.0594,0.0387,0.065,0.0626,0.0727,0.0639,0.0699,0.0587,0.0591,0.06,0.0533,0.0584,0.06,0.06,0.0562,0.0732,0.0433,0.0421,0.0532,0.0635,0.0549,0.0673,0.0568,0.0421,0.0559,0.032,0.0349,0.0469,0.0515,0.0769,0.0735,0.0821,0.0734,0.0772,0.069,0.065,0.0804,0.0717,0.0705
MINE_US_00008,0.0911,0.0979,0.07,0.0785,0.0824,0.0823,0.0801,0.076,0.1097,0.0817,0.0859,0.0755,0.0835,0.0923,0.0939,0.1023,0.0993,0.0926,0.1176,0.1293,0.1075,0.1285,0.1174,0.1185,0.142,0.0501,0.0493,0.0278,0.0319,0.0247,0.0159,0.0343,0.0328,0.0478,0.0107,0.023,0.0236,0.024,0.0276,0.0349,0.0246,0.0315,0.0367,0.06,0.0649,0.0294,0.0831,0.0696,0.0406,0.0597
MINE_US_00009,0.1788,0.1864,0.1754,0.2085,0.1483,0.2012,0.1461,0.208,0.2178,0.1742,0.192,0.2044,0.145,0.2292,0.2703,0.2582,0.202,0.2169,0.2786,0.325,0.1881,0.2071,0.267,0.3028,0.2283,-0.0821,-0.0985,-0.1058,-0.0511,-0.1394,-0.048,-0.1273,-0.0221,-0.019,-0.101,-0.0432,-0.0344,-0.1074,-0.0483,-0.0003,0.0015,-0.0491,-0.0452,-0.0147,0.0657,-0.0919,-0.0793,-0.0094,0.0096,-0.052
