Event_ID,ig_year,lat,lon,incid_name,incid_type,burn_ac,severity_ndvi,valid_burn,recovery_Rlast,recovery_slope,y2r,gedi_rh98_last,sar_vh_last,phase,structure_class,ig_year_source,optical_source,structure_source,label_method
OR4540011770020161024,2016,45.457,-117.651,UNNAMED,Prescribed Fire,2532.0,0.1264,1,0.3934,0.0394,2.0,9.13,-16.48,early_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
ID4431311660320161007,2016,44.333,-116.596,CRANE,Wildfire,1468.0,0.0112,0,,,1.0,3.26,-23.14,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
ID4489011641020160503,2016,44.881,-116.402,UNNAMED,Prescribed Fire,2234.0,0.0281,0,,,1.0,14.98,-17.01,low_severity,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
ID4544811630920160818,2016,45.438,-116.293,GUN CLUB,Wildfire,2051.0,0.0201,0,,,1.0,10.92,-18.25,low_severity,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4562412106720160701,2016,45.638,-121.006,FIFTEEN MILE,Wildfire,4044.0,0.0338,0,,,1.0,1.09,-24.85,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4576011699020161024,2016,45.77,-116.984,UNNAMED,Prescribed Fire,2834.0,0.0208,0,,,1.0,2.96,-17.52,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4372011979020160515,2016,43.742,-119.783,UNNAMED,Prescribed Fire,2095.0,0.0681,1,1.0314,0.1184,1.0,13.31,-17.6,stable_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4396011847820161001,2016,43.961,-118.442,2 HL OTIS MT BROADCAST BURN,Prescribed Fire,1523.0,0.02,0,,,1.0,3.83,-21.26,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4417011845020160926,2016,44.17,-118.445,UNNAMED,Prescribed Fire,1416.0,-0.0006,0,,,1.0,12.67,-17.33,low_severity,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4473012140020160415,2016,44.645,-121.424,2016 AERIAL MAINTENANCE UNDERBURNING,Prescribed Fire,4200.0,0.0219,0,,,1.0,6.63,-18.71,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3759811955420160626,2016,37.6,-119.554,LAKES,Unknown,1057.0,0.0823,1,0.4891,0.0831,1.0,18.53,-16.01,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
ID4273611666120160929,2016,42.745,-116.688,JOSIE,Wildfire,1562.0,0.0597,0,,,1.0,2.43,-23.54,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3700411949520160730,2016,37.015,-119.466,GOOSE,Wildfire,2487.0,0.1057,1,1.0607,0.1053,1.0,5.34,-16.9,stable_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3779911892220160804,2016,37.799,-118.916,CLARK,Wildfire,3034.0,0.1104,1,0.9183,0.1127,2.0,5.86,-19.53,stable_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3778011892120160917,2016,37.765,-118.911,OWENS RIVER,Wildfire,6163.0,0.071,1,1.3,0.1619,2.0,5.54,-20.4,stable_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4440811838320160731,2016,44.348,-118.347,RAIL,Wildfire,43813.0,0.1893,1,0.8738,0.1104,4.0,9.28,-17.85,stable_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3780912030120160926,2016,37.778,-120.282,MARSHES,Wildfire,1102.0,0.1551,1,0.7238,0.0658,3.0,7.57,-15.86,stable_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3611312128920160604,2016,36.125,-121.284,COLEMAN,Wildfire,2880.0,0.199,1,1.1192,0.0588,1.0,7.44,-16.82,stable_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4407812030820160929,2016,44.078,-120.288,0624 RS EAST MAURY,Wildfire,1596.0,0.1522,1,0.2876,0.0366,3.0,6.72,-18.63,degraded,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4272312062320160817,2016,42.699,-120.598,WITHERS,Wildfire,3152.0,0.0225,0,,,1.0,1.76,-20.79,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA4128112031520160917,2016,41.29,-120.269,SOUP COMPLEX,Wildfire,2798.0,0.1354,1,0.6912,0.1037,3.0,3.33,-16.47,stable_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA4036812080220160911,2016,40.378,-120.749,WILLARD,Wildfire,2828.0,0.1803,1,0.3937,0.0597,,6.69,-19.65,early_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3895812085620160628,2016,38.963,-120.83,TRAILHEAD,Wildfire,5743.0,0.2075,1,0.6476,0.0764,3.0,23.35,-15.26,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3710912184820160926,2016,37.116,-121.818,LOMA,Wildfire,4380.0,0.2209,1,0.9169,0.1036,3.0,13.92,-15.45,stable_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
CA3646112190120160722,2016,36.324,-121.699,SOBERANES,Wildfire,131921.0,0.143,1,1.1885,0.134,2.0,13.09,-15.64,stable_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4448812148120160607,2016,44.498,-121.45,0152 AKAWANA OD,Wildfire,2113.0,0.2644,1,0.728,0.0632,6.0,4.48,-18.05,stable_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4292412221220160728,2016,42.924,-122.195,BYBEE CREEK,Wildfire,1007.0,0.129,1,0.7271,0.081,2.0,4.89,-19.28,stable_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4563012190420170902,2017,45.618,-121.942,EAGLE CREEK,Wildfire,48816.0,0.3125,1,0.4921,0.064,5.0,11.92,-16.42,early_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
ID4540111652720170908,2017,45.414,-116.527,INDIAN RIDGE,Wildfire,2174.0,0.0836,1,0.7748,0.106,1.0,14.52,-16.85,stable_restoration,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
ID4554811595020170801,2017,45.538,-115.907,HANOVER,Wildfire,27927.0,0.1147,1,0.7894,0.1062,1.0,9.33,-15.51,stable_restoration,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
ID4601011688120170715,2017,46.015,-116.89,CORRAL CREEK,Wildfire,1877.0,0.0417,0,,,1.0,3.67,-21.23,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4560011651620170711,2017,45.593,-116.503,BUCK,Wildfire,1267.0,0.0462,0,,,1.0,4.52,-17.94,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
ID4603611671720170715,2017,45.968,-116.803,POWERLINE,Wildfire,45449.0,0.0508,0,,,1.0,4.03,-19.36,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4443511721920170803,2017,44.426,-117.235,MORGAN CREEK,Wildfire,2329.0,0.0116,0,,,1.0,5.78,-19.94,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
ID4253511698720170918,2017,42.512,-116.996,3 HL SOUTH MOUNTAIN FR69 POLECREEK RX,Prescribed Fire,5036.0,0.0417,0,,,1.0,0.25,-22.57,low_severity,low,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
OR4462111846220170616,2017,44.623,-118.464,UNNAMED,Prescribed Fire,2093.0,0.0411,0,,,1.0,11.37,-17.95,low_severity,high,MTBS_external,Landsat_C2_L2,GEDI/S1,protocol_RegimeA_v0.1
