Event_ID,in_region_fold,region,year_cohort
OR4540011770020161024,4,north,early16_17
OR4372011979020160515,3,north,early16_17
CA3759811955420160626,2,south,early16_17
CA3700411949520160730,1,south,early16_17
CA3779911892220160804,1,south,early16_17
CA3778011892120160917,0,south,early16_17
OR4440811838320160731,0,north,early16_17
CA3780912030120160926,0,south,early16_17
CA3611312128920160604,0,south,early16_17
OR4407812030820160929,4,north,early16_17
CA4128112031520160917,3,south,early16_17
CA4036812080220160911,4,south,early16_17
CA3895812085620160628,2,south,early16_17
CA3710912184820160926,3,south,early16_17
CA3646112190120160722,4,south,early16_17
OR4448812148120160607,3,north,early16_17
OR4292412221220160728,3,north,early16_17
OR4563012190420170902,2,north,early16_17
ID4540111652720170908,2,north,early16_17
ID4554811595020170801,4,north,early16_17
OR4372111979120170504,1,north,early16_17
CA3744911965020170829,4,south,early16_17
CA3721711946920170903,3,south,early16_17
CA3753811959820170813,0,south,early16_17
CA3764411961820170801,1,south,early16_17
CA3837311989620170819,4,south,early16_17
CA3761912020720170716,2,south,early16_17
CA3812011994120170904,0,south,early16_17
OR4447912049720170909,3,north,early16_17
CA4130712105620170725,3,south,early16_17
CA4146612032120170803,4,south,early16_17
CA3990612097220170729,0,south,early16_17
CA3946112141320170707,0,south,early16_17
CA3839112224120171009,4,south,early16_17
CA3838712252020171009,0,south,early16_17
CA3957512131620170829,2,south,early16_17
OR4470812185620170724,0,north,early16_17
OR4474912191520170811,1,north,early16_17
OR4400912217020170804,2,north,early16_17
OR4425712174320170811,2,north,early16_17
OR4410112190920170810,2,north,early16_17
OR4410112199420170810,0,north,early16_17
OR4412912209720170811,0,north,early16_17
OR4404612205520170810,0,north,early16_17
OR4279812231820170725,0,north,early16_17
OR4254212214420170810,3,north,early16_17
OR4298012228220170729,2,north,early16_17
OR4311112241120170811,3,north,early16_17
OR4303712246520170809,1,north,early16_17
OR4294112254720170808,3,north,early16_17
OR4309112272520170810,3,north,early16_17
OR4318212230620170809,1,north,early16_17
OR4340212236220170810,2,north,early16_17
OR4320912249720170811,4,north,early16_17
OR4330612262220170812,4,north,early16_17
OR4331112282720170810,4,north,early16_17
OR4375212142520170829,1,north,early16_17
CA4143512316220170626,3,south,early16_17
CA4018412336320170808,4,south,early16_17
CA4011512332020170808,3,south,early16_17
CA4077112312420170831,4,south,early16_17
CA4083912297820170808,3,south,early16_17
CA4022812303620170913,3,south,early16_17
WA4597011911020180622,1,north,late18_19
ID4533411639120180723,4,north,late18_19
ID4467611644820180726,0,north,late18_19
CA3641011873720181004,2,south,late18_19
CA3756511912720180611,3,south,late18_19
CA3765211988120180713,4,south,late18_19
CA3834911992920180801,2,south,late18_19
CA3839611945120180904,1,south,late18_19
OR4265012082720180815,1,north,late18_19
CA4139512105720180815,2,south,late18_19
CA4063012088020180727,2,south,late18_19
CA3982012144020181108,3,south,late18_19
CA3927312065620180903,4,south,late18_19
OR4408412223820180819,0,north,late18_19
OR4258012299020180822,4,north,late18_19
OR4307312203920180715,2,north,late18_19
OR4275312292520180715,1,north,late18_19
OR4293812266120180715,3,north,late18_19
OR4282612280720180716,2,north,late18_19
OR4209912285420180715,1,north,late18_19
CA4061612352420180904,1,south,late18_19
CA4089112222820180809,3,south,late18_19
CA4094312242720180905,2,south,late18_19
OR4517811742720190728,2,north,late18_19
ID4248911688820190828,1,north,late18_19
OR4414911858320190930,3,north,late18_19
CA4137212197020190922,1,south,late18_19
OR4304512197320190915,1,north,late18_19
CA3755212015420190901,4,south,late18_19
CA3760511996620191006,1,south,late18_19
OR4428511846020190809,1,north,late18_19
CA4005312066920190904,3,south,late18_19
CA3872412014620191010,3,south,late18_19
OR4504511946220190805,0,north,late18_19
CA4186612267020190905,0,south,late18_19
CA4010912278920190905,1,south,late18_19
CA4088712301420190905,4,south,late18_19
